Q,A,label
'function': too many actual parameters,'function': 실제 매개 변수가 너무 많습니다.,0
'function': pointer mismatch for actual parameter 'parameter number','function': 실제 매개 변수 '매개 변수 번호'에 대한 포인터 불일치,0
'function': based pointer passed to unprototyped function: parameter 'parameter_number','function': 형식화되지 않은 함수에 전달된 기반 포인터: 매개 변수 'parameter_number',0
'function': different types for formal and actual parameter 'parameter_number','function': 형식 및 실제 매개 변수 'parameter_number'에 대한 다양한 형식,0
'function': based pointer passed to function with variable arguments: parameter 'parameter_number','function': 변수 인수를 사용하여 함수에 전달된 기반 포인터: 매개 변수 'parameter_number',0
function declared with formal parameter list,정식 매개 변수 목록을 사용하여 함수를 선언했습니다.,0
function declared without formal parameter list,정식 매개 변수 목록을 사용하지 않고 함수를 선언했습니다.,0
formal parameter 'parameter_number' different from declaration,선언과 다른 형식 매개 변수 'parameter_number'입니다.,0
declared formal parameter list different from definition,정의와 다른 선언된 공식 매개 변수 목록,0
first formal parameter list longer than the second list,첫째 정식 매개 변수 목록이 둘째 목록보다 깁니다.,0
second formal parameter list longer than the first list,첫 번째 목록보다 긴 두 번째 공식 매개 변수 목록,0
formal parameter 'parameter_number' has different type when promoted,정식 매개 변수 'parameter_number'은 승격될 때 형식이 다릅니다.,0
'function' must return a value,'function'은 값을 반환해야 합니다.,0
sizeof returns 0,sizeof는 0을 반환합니다.,0
'function': no return value,'function': 반환 값 없음,0
unnamed 'type' as actual parameter,실제 매개 변수로 명명되지 않은 'type'입니다.,0
'modifier': illegal class modifier,'한정자': 잘못된 클래스 한정자,0
compiler limit: terminating browser output,컴파일러 제한: 브라우저 출력 종료,0
'identifier': has bad storage class,'identifier': 잘못된 스토리지 클래스가 있습니다.,0
'array': array bounds overflow,'array': 배열 경계 오버플로,0
'operator': 'identifier1' differs in levels of indirection from 'identifier2','operator': 'identifier1'은 'identifier2'의 간접 참조 수준이 다릅니다.,0
different array subscripts: 'identifier1' and 'identifier2',다른 배열 아래 첨자: 'identifier1' 및 'identifier2',0
compiler limit: terminating line number emission,컴파일러 제한: 줄 번호 배출 종료,0
type conversion; possible loss of data,형식을 변환하면서 데이터가 손실될 수 있습니다.,0
function declarations different; one contains variable arguments,함수 선언이 다릅니다. 한쪽에 가변 인수가 들어 있습니다.,0
one void operand for '?:','?:' 연산에 void 형식이 피연산자로 사용됩니다.,0
'conversion' : from data pointer 'type1' to function pointer 'type2','conversion': 데이터 포인터 'type1'에서 함수 포인터 'type2'로,0
overflow in floating-point constant arithmetic,부동 소수점 상수 산술 연산의 오버플로,0
'operator': 'identifier1' differs in indirection to slightly different base types from 'identifier2','operator': 'identifier1'은 'identifier2'에서 약간 다른 기본 형식에 대한 간접 참조가 다릅니다.,0
switch statement contains no 'case' or 'default' labels,switch 문에는 'case' 또는 'default' 레이블이 없습니다.,0
enumerator 'identifier' in switch of enum 'enumeration' is not explicitly handled by a case label,열거형 '열거형' 스위치의 열거자 'identifier'는 사례 레이블에 의해 명시적으로 처리되지 않습니다.,0
enumerator 'identifier' in switch of enum 'enumeration' is not handled,열거형 'enumeration'의 switch에 있는 'identifier' 열거자가 처리되지 않습니다.,0
case 'identifier' is not a valid value for switch of enum 'enumeration',case 'identifier'가 열거형 '열거형' 스위치에 유효한 값이 아닙니다.,0
switch of incomplete enum 'enumeration',불완전한 열거형 '열거형' 스위치,0
switch statement contains 'default' but no 'case' labels,switch 문은 'default'를 포함하지만 'case' 레이블은 포함하지 않습니다.,0
characters beyond first in wide-character constant ignored,와이드 문자 상수에서 첫 문자 뒤의 문자는 무시됩니다.,0
unexpected tokens following preprocessor directive - expected a newline,전처리기 지시문에 따른 예기치 않은 토큰 - 줄이 필요합니다.,0
unknown pragma,알 수 없는 pragma입니다.,0
long double is the same precision as double,long double은 double과 동일한 정밀도입니다.,0
initializers put in library initialization area,라이브러리 초기화 영역에 배치된 이니셜라이저,0
initializers put in compiler reserved initialization area,컴파일러 예약 초기화 영역에 배치된 이니셜라이저,0
initializers put in unrecognized initialization area,이니셜라이저가 인식할 수 없는 초기화 영역에 있습니다.,0
'type_modifier': can not be used with type 'typename','type_modifier': 'typename' 형식과 함께 사용할 수 없습니다.,0
unknown check_stack option,알 수 없는 check_stack 옵션입니다.,0
unexpected token 'token',예기치 않은 'token' 토큰입니다.,0
expected identifier for segment name; found 'symbol',세그먼트 이름에 대한 식별자가 있어야 하는데 'symbol'이 있습니다.,0
expected 'token1'; found 'token2','token1'이 필요한데 'token2'가 있습니다.,0
expected 'token'; found identifier 'identifier','token'이 필요합니다. 검색된 식별자 'identifier',0
expected pragma parameter to be 'on' or 'off',pragma 매개 변수는 'on' 또는 'off'이어야 합니다.,0
"expected pragma parameter to be '1', '2', '4', '8', or '16'","pragma 매개 변수는 '1', '2', '4', '8' 또는 '16'이어야 합니다.",0
function': declared with 'void' parameter list,'function': 'void' 매개 변수 목록으로 선언됨,0
"'function': pointer mismatch in actual parameter 'parameter_number', formal parameter 'parameter_number'","'function': 실제 매개 변수 'parameter_number', 형식 매개 변수 'parameter_number'의 포인터 불일치",0
"'function': different types in actual parameter 'parameter_number', formal parameter 'parameter_number'","'function': 실제 매개 변수 'parameter_number', 형식 매개 변수 'parameter_number'의 형식이 다릅니다.",0
'operation': different 'modifier' qualifiers,'operation': 다른 '한정자' 한정자,0
keyword': ignored on left of 'type' when no variable is declared,keyword': 변수가 선언되지 않은 경우 'type' 왼쪽에서 무시됨,0
sizeof returns 'unsigned long',sizeof는 'unsigned long'을 반환합니다.,0
untagged 'token' declared no symbols,태그가 지정되지 않은 '토큰'이 기호를 선언하지 않았습니다.,0
'identifier': interface is not a COM interface; will not be emitted to IDL,'identifier': 인터페이스는 COM 인터페이스가 아닙니다. 는 IDL로 내보내지 않습니다.,0
expected pragma parameter to be 'restore' or 'off',pragma 매개 변수는 'restore' 또는 'off'이어야 합니다.,0
'function': 'void' function returning a value,'function': 값을 반환하는 'void' 함수,0
'identifier': type name first seen using 'object_type1' now seen using 'object_type2','identifier': 이제 'object_type2'을 사용하여 'object_type1'을 사용하여 처음 표시되는 형식 이름,0
'identifier': unreferenced formal parameter,'identifier': 참조되지 않은 정식 매개 변수,0
'identifier': unreferenced local variable,'identifier': 참조되지 않은 지역 변수,0
'label': unreferenced label,'label': 참조되지 않은 레이블,0
"'filename': alignment changed after including header, may be due to missing #pragma pack(pop)",'filename': 헤더를 포함한 후 맞춤이 변경되었습니다. #pragma pack(pop)이 누락되어 있을 수 있습니다.,0
unexpected identifier 'identifier',예기치 않은 식별자 'identifier'입니다.,0
#line requires an integer between 1 and 'line_count',#line 1에서 'line_count' 사이의 정수 필요,0
'identifier1' differs in parameter lists from 'identifier2','identifier1'은 'identifier2'의 매개 변수 목록에서 다릅니다.,0
same type qualifier used more than once,동일한 형식 한정자를 두 번 이상 사용했습니다.,0
'type': named type definition in parentheses,'type': 괄호 안에 명명된 형식 정의,0
unnamed type definition in parentheses,괄호 안에 명명되지 않은 형식 정의,0
"macro name 'name' is reserved, 'command' ignored",매크로 이름 'name'이 예약되어 있습니다. 'command'가 무시됨,0
different bases 'base1' and 'base2' specified,서로 다른 기준 'base1'과 'base2'를 지정했습니다.,0
based/unbased mismatch,based 또는 unbased가 일치하지 않습니다.,0
'symbol': alignment of a member was sensitive to packing,'symbol': 멤버 맞춤이 압축에 민감했습니다.,0
'function': alloc_text applicable only to functions with C linkage,'function': alloc_text C 링크가 있는 함수에만 적용됩니다.,0
different base expressions specified,지정된 다른 기본 식,0
__fastcall with stack checking is inefficient,스택 검사가 있는 __fastcall 비효율적입니다.,0
decimal digit terminates octal escape sequence,10진수가 8진수 이스케이프 시퀀스를 마칩니다.,0
conditional expression is constant,조건식이 상수입니다.,0
'character': unrecognized character escape sequence,'character': 인식할 수 없는 문자 이스케이프 시퀀스,0
'operator': logical operation on address of string constant,'operator': 문자열 상수의 주소에 대한 논리적 연산,0
'function': uses old-style declarator,'function': 이전 스타일 선언자를 사용합니다.,0
'object': const object should be initialized,'object': const 개체를 초기화해야 합니다.,0
'expression': incompatible types - from 'type1' to 'type2','expression': 호환되지 않는 형식 - 'type1'에서 'type2'로,0
'function': no return value from floating-point function,'function': 부동 소수점 함수의 반환 값 없음,0
'*/' found outside of comment,'*/'가 주석 외부에 있습니다.,0
'modifier': used more than once,'한정자': 두 번 이상 사용됨,0
benign redefinition of type,형식의 무해한 재정의,0
pragma 'same_seg' not supported; use __based allocation,pragma 'same_seg'가 지원되지 않으므로 __based 할당을 사용하세요.,0
'expression': relational expression as switch expression,'expression': 관계형 식을 switch 식으로,0
'expression1': relational expression as switch expression; possible confusion with 'expression2',"'expression1': 관계형 식을 switch 식으로, 'expression2'와 혼동할 수 있습니다.",0
"unary minus operator applied to unsigned type, result still unsigned","부호 없는 형식에 적용된 단항 빼기 연산자, 여전히 부호 없는 결과",0
deletion of pointer to incomplete type 'type'; no destructor called,불완전한 형식 'type'에 대한 포인터 삭제 소멸자가 호출되지 않음,0
"nonstandard extension, function/data pointer conversion in expression","비표준 확장, 식의 함수/데이터 포인터 변환",0
function/data pointer conversion in expression,식에서 함수/데이터 포인터 변환이 있습니다.,0
deletion of an array expression; conversion to pointer supplied,배열 식 삭제; 제공된 포인터로 변환,0
deletion of an array expression without using the array form of 'delete','delete' 배열 형식을 사용하지 않고 배열 식을 삭제했습니다.,0
deletion of an array expression without using the array form of 'delete'; array form substituted,'delete'의 배열 형식을 사용하지 않고 배열 식을 삭제합니다. 배열 양식 대체됨,0
pragma was ignored by C compiler,C 컴파일러에서 pragma를 무시했습니다.,0
"assuming #pragma pointers_to_members(full_generality, 'inheritance_type')","가정 #pragma pointers_to_members(full_generality, 'inheritance_type')",0
"#pragma 'pragma'(pop,...): has popped previously pushed identifier 'identifier'","#pragma 'pragma'(pop,...): 이전에 푸시된 식별자 'identifier'를 팝했습니다.",0
"#pragma 'pragma'(pop,...): did not find previously pushed identifier 'identifier'","#pragma 'pragma'(pop,...): 이전에 푸시된 식별자 'identifier'를 찾지 못했습니다.",0
#pragma 'pragma'(pop...): more pops than pushes,#pragma 'pragma'(팝...): 푸시보다 더 많은 팝,0
'identifier': no function with C linkage found,'identifier': C 링크가 있는 함수가 없습니다.,0
'identifier': not available as an intrinsic function,'identifier': 내장 함수로 사용할 수 없음,0
'function': intrinsic function not declared,'function': 내장 함수가 선언되지 않음,0
'HRESULT' is being converted to 'bool'; are you sure this is what you want?,'HRESULT'가 'bool'로 변환되고 있습니다. 당신은 이것이 당신이 원하는 것을 확신합니까?,0
illegal calling convention for constructor/destructor,생성자/소멸자에 대한 호출 규칙이 잘못되었습니다.,0
'function': only available as an intrinsic function,'function': 내장 함수로만 사용할 수 있습니다.,0
"compiler limit: out of debugger types, delete program database 'database' and rebuild",컴파일러 제한: 디버거 형식을 벗어나 프로그램 데이터베이스 'database'를 삭제하고 다시 빌드,0
returning address of local variable or temporary,지역 변수 또는 임시 주소 반환,0
'name': not available as a #pragma component,'name': #pragma 구성 요소로 사용할 수 없음,0
"#pragma component(browser, on): browser info must initially be specified on the command line","#pragma 구성 요소(브라우저, 켜기): 브라우저 정보는 처음에 명령줄에 지정해야 합니다.",0
'subcomponent': unknown subcomponent for #pragma component browser,'subcomponent': #pragma 구성 요소 브라우저에 대한 알 수 없는 하위 구성 요소,0
#pragma 'pragma' should only be used at global scope or namespace scope,#pragma 'pragma'는 전역 범위 또는 네임스페이스 범위에서만 사용해야 합니다.,0
case constant 'constant' too big for the type of the switch expression,'constant' case 상수가 switch 식의 형식에는 너무 큽니다.,0
'//*': parsed as '/' and '/*': confusion with standard '//' comments,'//*': '/' 및 '/*'로 구문 분석: 표준 '//' 주석과 혼동,0
qualifier applied to function type has no meaning; ignored,함수 형식에 적용되는 한정자가 의미가 없으므로 무시됩니다.,0
qualifier applied to reference type; ignored,참조 형식에 적용된 한정자; 무시,0
#include nesting level is 'nest_count' deep; possible infinite recursion,#include 중첩 수준은 'nest_count'깊습니다. 가능한 무한 재귀,0
'identifier': missing return type; assumed to be a member function returning 'int','identifier': 반환 형식이 없습니다. 는 'int'를 반환하는 멤버 함수로 간주됩니다.,0
ignoring unknown #import attribute 'attribute',알 수 없는 #import 특성 'attribute'를 무시합니다.,0
#import attribute 'attribute' requires 'argument_count' arguments; ignored,#import 특성 'attribute'에는 'argument_count' 인수가 필요합니다. 무시,0
#import attributes 'attribute1' and 'attribute2' are incompatible; both ignored,#import 특성 'attribute1' 및 'attribute2'는 호환되지 않으므로 모두 무시됩니다.,0
constant expression is not integral,상수 식이 정수 계열이 아닙니다.,0
'identifier': local variable is initialized but not referenced,'identifier': 지역 변수가 초기화되었지만 참조되지 않음,0
"'identifier1' has C-linkage specified, but returns UDT 'identifier2' which is incompatible with C",'identifier1'에 C 링크가 지정되어 있지만 C와 호환되지 않는 UDT 'identifier2'를 반환합니다.,0
'operator/operation': unsafe conversion from 'type_of_expression' to 'type_required'\nCalling this function through the result pointer may cause your program to fail,'operator/operation': 'type_of_expression'에서 'type_required'로 안전하지 않은 변환 \n결과 포인터를 통해 이 함수를 호출하면 프로그램이 실패할 수 있습니다.,0
automatically excluding 'identifier' while importing type library 'library',형식 라이브러리 'library'를 가져오는 동안 자동으로 'identifier'를 제외,0
#pragma warning(pop): no matching '#pragma warning(push)',#pragma warning(pop): 일치하는 '#pragma warning(push)' 없음,0
#pragma start_map_region cannot be nested; ignored,#pragma start_map_region 중첩할 수 없습니다. 무시,0
#pragma stop_map_region used without matching #pragma start_map_region; ignored,#pragma stop_map_region 일치 하지 않고 사용 #pragma start_map_region; 무시,0
expected '%$L' or '%$L'; found '%$L','%$L' 또는 '%$L'이(가) 필요합니다. '%$L'을(를) 찾았습니다.,0
'type': top-level volatile in cast is ignored,'type': 캐스트의 최상위 휘발성이 무시됨,0
%s,%s,0
internal compiler error,내부 컴파일러 오류,1
assignment of constant found in boolean expression,부울 표현식에서 찾은 상수 할당,1
constant out of range; truncated,상수가 범위를 벗어남 잘린,1
missing return value,반환 값 누락,1
base class '%T' does not have a virtual destructor,기본 클래스 '%T'에는 가상 소멸자가 없습니다.,1
pointer or reference truncated,포인터 또는 참조가 잘림,1
"syntax error; probable cause: missing "";""","구문 오류; 가능한 원인: "";"" 누락",1
"""&array"" may not produce intended result","""배열(&A)""이 의도한 결과를 생성하지 않을 수 있습니다.",1
returning address of function argument or of auto or register variable,함수 인수 또는 자동 또는 레지스터 변수의 주소 반환,1
'##' tokens did not generate a single token (rest discarded),'##' 토큰이 단일 토큰을 생성하지 않았습니다(나머지 폐기됨),1
asm directive ignored,asm 지시문이 무시됨,1
all members are private,모든 구성원이 비공개입니다.,1
"template argument cannot be type ""%T""","템플릿 인수는 ""%T"" 유형이 될 수 없습니다.",1
unreachable code,연결할 수 없는 코드,1
no reference to symbol '%S','%S' 기호에 대한 참조가 없습니다.,1
nested comment found in comment started on line %u,%u행에서 시작된 주석에서 중첩된 주석을 찾았습니다.,1
template argument list cannot be empty,템플릿 인수 목록은 비워둘 수 없습니다.,1
label '%s' has not been referenced by a goto,레이블 '%s'이(가) goto에서 참조되지 않았습니다.,1
no reference to anonymous union member '%S',익명의 조합 구성원 '%S'에 대한 참조가 없습니다.,1
"BREAK may only appear in a for, do, while, or switch statement","BREAK는 for, do, while 또는 switch 문에만 나타날 수 있습니다.",1
CASE may only appear in a switch statement,CASE는 switch 문에만 나타날 수 있습니다.,1
"CONTINUE may only appear in a for, do, or while statement","CONTINUE는 for, do 또는 while 문에만 나타날 수 있습니다.",1
DEFAULT may only appear in a switch statement,DEFAULT는 switch 문에만 나타날 수 있습니다.,1
"misplaced ""}"" or missing earlier ""{""","""}""이(가) 잘못 배치되었거나 이전 ""{""이(가) 누락되었습니다.",1
misplaced #elif directive,잘못 배치된 #elif 지시문,1
misplaced #else directive,잘못 배치된 #else 지시문,1
misplaced #endif directive,잘못된 #endif 지시문,1
only one DEFAULT per switch statement is allowed,switch 문당 하나의 DEFAULT만 허용됩니다.,1
expecting '%s' but found '%s','%s'을(를) 예상했지만 '%s'을(를) 찾았습니다.,1
symbol '%N' has not been declared,'%N' 기호가 선언되지 않았습니다.,1
left expression must be a function or a function pointer,왼쪽 표현식은 함수 또는 함수 포인터여야 합니다.,1
operand must be an 'lvalue',피연산자는 'lvalue'여야 합니다.,1
label '%s' already defined,레이블 '%s'이(가) 이미 정의되었습니다.,1
label '%s' is not defined in function,레이블 '%s'이(가) 함수에 정의되어 있지 않습니다.,1
dimension cannot be zero,차원은 0일 수 없습니다.,1
dimension can't be negative,차원은 음수일 수 없습니다.,1
dimensions of multi-dimension array must be specified,다차원 배열의 차원을 지정해야 합니다.,1
invalid storage class for function,기능에 대한 잘못된 스토리지 클래스,1
expression must be 'pointer to ...',표현식은 '...에 대한 포인터'여야 합니다.,1
cannot take address of an rvalue,rvalue의 주소를 사용할 수 없습니다.,1
"expression for '.' must be a class, struct or union","'.'에 대한 표현 클래스, 구조체 또는 공용체여야 합니다.",1
"expression for '->' must be pointer to class, struct or union","'->'에 대한 표현식은 클래스, 구조체 또는 공용체에 대한 포인터여야 합니다.",1
symbol '%S' already defined,기호 '%S'이(가) 이미 정의되었습니다.,1
static function '%S' has not been defined,정적 함수 '%S'이(가) 정의되지 않았습니다.,1
expecting label for goto statement,goto 문에 대한 예상 레이블,1
duplicate case value '%s' found,중복 케이스 값 '%s'을(를) 찾았습니다.,1
bit-field width is too large,비트 필드 너비가 너무 큽니다.,1
width of a named bit-field must not be zero,명명된 비트 필드의 너비는 0이 아니어야 합니다.,1
bit-field width must be positive,비트 필드 너비는 양수여야 합니다.,1
bit-field base type must be an integral type,비트 필드 기본 유형은 정수 유형이어야 합니다.,1
subscript on non-array,비배열의 첨자,1
incomplete comment,불완전한 주석,1
argument for # must be a macro parm,#에 대한 인수는 매크로 매개변수여야 합니다.,1
unknown preprocessing directive '#%s',알 수 없는 전처리 지시문 '#%s',1
invalid #include directive,잘못된 #include 지시문,1
not enough parameters given for macro '%s',매크로 '%s'에 대한 매개변수가 충분하지 않습니다.,1
not expecting a return value,반환 값을 기대하지 않음,1
cannot take address of a bit-field,비트 필드의 주소를 사용할 수 없습니다.,1
expression must be constant,표현식은 일정해야 합니다.,1
unable to open '%s','%s'을(를) 열 수 없습니다,1
too many parameters given for macro '%s',매크로 '%s'에 너무 많은 매개변수가 지정되었습니다.,1
cannot use __based or __far16 pointers in this context,이 컨텍스트에서 __based 또는 __far16 포인터를 사용할 수 없습니다.,1
only one type is allowed in declaration specifiers,선언 지정자에는 하나의 유형만 허용됩니다.,1
out of memory,메모리 부족,1
invalid character constant,잘못된 문자 상수,1
taking address of variable with storage class 'register',스토리지 클래스 '레지스터'가 있는 변수의 주소 가져오기,1
'delete' expression size is not allowed,'삭제' 표현식 크기는 허용되지 않습니다.,1
"ending "" missing for string literal","문자열 리터럴에 ""끝""이 없습니다.",1
invalid option '%s',잘못된 옵션 '%s',1
invalid optimization option '%s',잘못된 최적화 옵션 '%s',1
invalid memory model '%s',잘못된 메모리 모델 '%s',1
expression must be integral,표현식은 정수여야 합니다.,1
expression must be arithmetic,표현식은 산술이어야 합니다.,1
statement required after label,레이블 뒤에 필요한 설명,1
statement required after 'do','do' 뒤에 문이 필요합니다.,1
statement required after 'case','case' 뒤에 필요한 문장,1
statement required after 'default','default' 뒤에 문이 필요합니다.,1
missing matching #endif directive,일치하는 #endif 지시문이 누락되었습니다.,1
"invalid macro definition, missing )","잘못된 매크로 정의, 누락)",1
missing ) for expansion of '%s' macro,'%s' 매크로 확장에 대한 누락),1
%s,%s,1
cannot define an array of functions,함수의 배열을 정의할 수 없습니다,1
function cannot return an array,함수는 배열을 반환할 수 없습니다.,1
function cannot return a function,함수는 함수를 반환할 수 없습니다.,1
function templates can only have type arguments,함수 템플릿은 형식 인수만 가질 수 있습니다.,1
maximum class size has been exceeded,최대 클래스 크기를 초과했습니다.,1
definition of macro '%s' not identical to previous definition,매크로 '%s'의 정의가 이전 정의와 동일하지 않습니다.,1
initialization of '%S' must be in file scope,'%S'의 초기화는 파일 범위에 있어야 합니다.,1
default argument for '%S' declared outside of class definition,클래스 정의 외부에서 선언된 '%S'의 기본 인수,1
## must not be at start or end of replacement tokens,##은 교체 토큰의 시작 또는 끝에 있으면 안 됩니다.,1
invalid floating-point constant,잘못된 부동 소수점 상수,1
'sizeof' is not allowed for a bit-field,'sizeof'는 비트 필드에 사용할 수 없습니다.,1
function '%S' has internal linkage because it is 'inline','%S' 함수는 '인라인'이므로 내부 연결이 있습니다.,1
must use 'va_start' macro inside function with variable arguments,변수 인수가 있는 함수 내에서 'va_start' 매크로를 사용해야 합니다.,1
***FATAL*** %s,***치명적인*** %s,1
internal compiler error %d,내부 컴파일러 오류 %d,1
argument number %d,인수 번호 %d,1
procedure '%s' has invalid return register in #pragma,프로시저 '%s'에 #pragma에 잘못된 반환 레지스터가 있습니다.,1
illegal register modified by '%s' #pragma,잘못된 레지스터가 '%s'에 의해 수정되었습니다. #pragma,1
file must contain at least one external definition,파일은 최소한 하나의 외부 정의를 포함해야 합니다.,1
out of macro space,매크로 공간 부족,1
keyboard interrupt detected,키보드 인터럽트 감지됨,1
duplicate macro parameter '%s',중복 매크로 매개변수 '%s',1
unable to open work file: error code = %d,작업 파일을 열 수 없습니다: 오류 코드 = %d,1
write error on work file: error code = %d,작업 파일에 쓰기 오류: 오류 코드 = %d,1
read error on work file: error code = %d,작업 파일 읽기 오류: 오류 코드 = %d,1
token too long; truncated,토큰이 너무 깁니다. 잘린,1
filename required on command line,명령줄에 필요한 파일 이름,1
command line contains more than one file to compile,명령줄에 컴파일할 파일이 두 개 이상 있습니다.,1
virtual member functions are not allowed in a union,가상 멤버 함수는 공용체에서 허용되지 않습니다.,1
union cannot be used as a base class,공용체는 기본 클래스로 사용할 수 없습니다.,1
union cannot have a base class,공용체는 기본 클래스를 가질 수 없습니다.,1
cannot inherit an undefined base class '%T',정의되지 않은 기본 클래스 '%T'을(를) 상속할 수 없습니다.,1
a repeated direct base class will cause ambiguities,반복되는 직접 기본 클래스는 모호성을 유발합니다.,1
templates may only be declared in file scope,템플릿은 파일 범위에서만 선언할 수 있습니다.,1
linkages may only be declared in file scope,연결은 파일 범위에서만 선언될 수 있습니다.,1
unknown linkage '%s',알 수 없는 연결 '%s',1
too many storage class specifiers,스토리지 클래스 지정자가 너무 많습니다.,1
a nameless declaration is not allowed,이름 없는 선언은 허용되지 않습니다.,1
illegal combination of type specifiers,형식 지정자의 잘못된 조합,1
illegal combination of type qualifiers,형식 한정자의 잘못된 조합,1
syntax error,구문 오류,1
parser stack corrupted,파서 스택이 손상됨,1
template declarations cannot be nested within each other,템플릿 선언은 서로 중첩될 수 없습니다.,1
expression is too complicated,표현이 너무 복잡합니다.,1
invalid redefinition of the typedef name '%S',typedef 이름 '%S'의 잘못된 재정의,1
class '%T' has already been defined,클래스 '%T'이(가) 이미 정의되었습니다.,1
'sizeof' is not allowed for an undefined type,'sizeof'는 정의되지 않은 유형에 대해 허용되지 않습니다.,1
initializer for variable '%S' may not execute,변수 '%S'에 대한 초기화 프로그램이 실행되지 않을 수 있습니다.,1
division by zero in a constant expression,상수 표현식에서 0으로 나누기,1
arithmetic overflow in a constant expression,상수 표현식의 산술 오버플로,1
not enough memory to fully optimize procedure '%s',메모리가 부족하여 '%s' 프로시저를 완전히 최적화할 수 없습니다.,1
not enough memory to maintain full peephole,전체 엿보기 구멍을 유지하기에 메모리가 충분하지 않습니다.,1
too many errors: compilation aborted,너무 많은 오류: 컴파일이 중단되었습니다.,1
too many parm sets,너무 많은 매개변수 집합,1
"'friend', 'virtual' or 'inline' modifiers may only be used on functions","'friend', 'virtual' 또는 'inline' 수정자는 함수에서만 사용할 수 있습니다.",1
more than one calling convention has been specified,둘 이상의 호출 규칙이 지정되었습니다.,1
pure member function constant must be '0',순수 멤버 함수 상수는 '0'이어야 합니다.,1
a 'based' modifier has been repeated,'기반' 수정자가 반복되었습니다.,1
enumeration variable is not assigned a constant from its enumeration,열거형 변수에 열거형에서 상수가 할당되지 않았습니다.,1
bit-field declaration cannot have a storage class specifier,비트 필드 선언은 스토리지 클래스 지정자를 가질 수 없습니다.,1
bit-field declaration must have a base type specified,비트 필드 선언에는 기본 유형이 지정되어야 합니다.,1
illegal qualification of a bit-field declaration,비트 필드 선언의 잘못된 자격,1
duplicate base qualifier,중복 기본 한정자,1
only one access specifier is allowed,하나의 액세스 지정자만 허용됩니다.,1
unexpected type qualifier found,예기치 않은 유형 한정자를 찾았습니다.,1
unexpected storage class specifier found,예기치 않은 스토리지 클래스 지정자를 찾았습니다.,1
access to '%S' is not allowed because it is ambiguous,모호하기 때문에 '%S'에 대한 액세스가 허용되지 않습니다.,1
access to private member '%S' is not allowed,개인 구성원 '%S'에 대한 액세스가 허용되지 않습니다.,1
access to protected member '%S' is not allowed,보호된 멤버 '%S'에 대한 액세스가 허용되지 않습니다.,1
operation does not allow both operands to be pointers,연산에서 두 피연산자가 포인터가 될 수 없습니다.,1
operand is neither a pointer nor an arithmetic type,피연산자가 포인터도 아니고 산술 형식도 아닙니다.,1
left operand is neither a pointer nor an arithmetic type,왼쪽 피연산자는 포인터도 아니고 산술 형식도 아닙니다.,1
